epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,21.579,1.80184,1.22297,0.92661,0.90129,0.925,0.93666,0.42551,1.76651,2.51285,0.87354,0.000776704,0.000776704,0.000776704
26,22.3502,1.87483,1.29348,0.91634,0.81372,0.54615,0.89077,0.39044,1.79676,2.42928,0.87936,0.0007777,0.0007777,0.0007777
27,23.1319,1.83342,1.27927,0.88203,0.90289,0.46519,0.88231,0.39152,1.75121,2.3035,0.87794,0.00077632,0.00077632,0.00077632
28,23.9267,1.86566,1.36481,0.93112,0.6567,0.5,0.68785,0.29956,1.67638,2.10244,0.86449,0.000772564,0.000772564,0.000772564
29,24.7213,1.68974,1.13227,0.88732,0.6567,0.5,0.68785,0.29956,1.67638,2.10244,0.86449,0.000766432,0.000766432,0.000766432
30,25.4736,1.82551,1.20605,0.89245,0.724,0.775,0.7368,0.3186,1.79458,1.96938,0.88211,0.000757924,0.000757924,0.000757924
31,26.2554,1.90287,1.26293,0.95421,0.77499,0.77496,0.78858,0.35301,1.79363,1.86409,0.87809,0.00074704,0.00074704,0.00074704
32,27.0406,1.68156,1.24769,0.90237,1,0.86444,0.98992,0.44953,1.79117,1.72058,0.87068,0.00073378,0.00073378,0.00073378
33,27.8049,1.74906,1.14501,0.88391,1,0.86444,0.98992,0.44953,1.79117,1.72058,0.87068,0.000718144,0.000718144,0.000718144
34,28.616,1.77108,1.20463,0.91845,0.97103,0.95,0.99086,0.48353,1.66917,1.58947,0.86138,0.0006932,0.0006932,0.0006932
35,29.4133,1.69563,1.08906,0.8941,0.91038,0.95,0.97845,0.45798,1.68669,1.4701,0.86175,0.0006536,0.0006536,0.0006536
36,30.1802,1.68304,1.06528,0.89197,0.88937,0.95,0.97639,0.39803,1.7731,1.35862,0.87184,0.000614,0.000614,0.000614
37,30.956,1.67699,1.08197,0.84895,0.88937,0.95,0.97639,0.39803,1.7731,1.35862,0.87184,0.0005744,0.0005744,0.0005744
38,31.7379,1.66308,1.0937,0.88191,0.86463,0.95822,0.9418,0.43981,1.74578,1.30935,0.86898,0.0005348,0.0005348,0.0005348
39,32.5208,1.72545,1.14501,0.87765,0.82824,0.975,0.93514,0.47746,1.66356,1.3165,0.86266,0.0004952,0.0004952,0.0004952
40,33.33,1.65007,1.08139,0.89615,0.92358,1,0.98629,0.4991,1.64484,1.31287,0.86313,0.0004556,0.0004556,0.0004556
41,55.0025,1.65982,1.11198,0.91656,0.92358,1,0.98629,0.4991,1.64484,1.31287,0.86313,0.000416,0.000416,0.000416
42,55.8065,1.74952,1.27868,0.92114,0.92629,1,0.98383,0.49147,1.67312,1.28167,0.86761,0.0003764,0.0003764,0.0003764
43,56.594,1.62782,1.2152,0.92517,0.94465,0.975,0.9708,0.49752,1.72338,1.21394,0.87131,0.0003368,0.0003368,0.0003368
44,57.3619,1.54972,1.11325,0.86566,0.92773,1,0.99134,0.52346,1.68399,1.15093,0.8668,0.0002972,0.0002972,0.0002972
45,58.1347,1.57041,1.06585,0.9441,0.92773,1,0.99134,0.52346,1.68399,1.15093,0.8668,0.0002576,0.0002576,0.0002576
46,58.8993,1.57867,1.07388,0.87784,0.94651,1,0.99134,0.55084,1.64545,1.10064,0.86049,0.000218,0.000218,0.000218
47,59.6715,1.57863,1.06944,0.95583,0.96875,1,0.99085,0.55754,1.56689,1.05617,0.8536,0.0001784,0.0001784,0.0001784
48,60.4528,1.50957,1.12849,0.87301,0.96747,1,0.99085,0.54977,1.558,1.02777,0.85371,0.0001388,0.0001388,0.0001388
49,61.207,1.6092,1.15629,0.88284,0.96747,1,0.99085,0.54977,1.558,1.02777,0.85371,9.92e-05,9.92e-05,9.92e-05
50,61.9663,1.60136,1.05337,0.92788,0.96814,1,0.99207,0.54023,1.55781,0.99322,0.85306,5.96e-05,5.96e-05,5.96e-05
